ID_Cliente,Evento,Tiempo,Tiempo_Desde_Ultima_Llegada,Tamaño_Cola,Cajeros_Ocupados,Tiempo_Inicio_Servicio,Tiempo_Fin_Servicio,Tiempo_En_Cola,Tiempo_En_Servicio,Tiempo_Total
84,InicioServicio,97.08,0.00,0,1,97.0837652122879,,,,
79,FinServicio,97.32,0.23,1,1,87.79053157027735,97.31609109033062,,9.525559520053264,9.525559520053264
80,InicioServicio,97.32,0.00,0,1,97.31609109033062,,8.679407751649933,,
84,FinServicio,98.07,0.76,0,1,97.0837652122879,98.07221373709403,,0.9884485248061272,0.988448524806131
80,FinServicio,98.35,0.28,0,1,97.31609109033062,98.35472609187204,,1.0386350015414179,9.718042753191355
85,Llegada,99.34,0.99,0,0,,,,,
85,InicioServicio,99.34,0.00,0,1,99.34498672350615,,,,
85,FinServicio,99.45,0.10,0,1,99.34498672350615,99.44803726986038,,0.10305054635422299,0.1030505463542255
86,Llegada,100.04,0.59,0,0,,,,,
86,InicioServicio,100.04,0.00,0,1,100.04105880803947,,,,
86,FinServicio,100.20,0.16,0,1,100.04105880803947,100.20172944486941,,0.1606706368299485,0.16067063682994842
87,Llegada,101.00,0.80,0,0,,,,,
87,InicioServicio,101.00,0.00,0,1,100.99776214443077,,,,
82,FinServicio,101.08,0.08,0,1,92.20599657722563,101.08193092560359,,8.87593434837796,11.044184202847788
87,FinServicio,101.25,0.17,0,1,100.99776214443077,101.24761772738682,,0.24985558295605506,0.2498555829560587
88,Llegada,102.20,0.95,0,0,,,,,
88,InicioServicio,102.20,0.00,0,1,102.19754274768717,,,,
88,FinServicio,103.72,1.52,0,1,102.19754274768717,103.7161188525869,,1.5185761048997417,1.5185761048997364
78,FinServicio,104.16,0.44,0,1,92.10216223553671,104.15645274822934,,12.05429051269263,16.974782822913312
89,Llegada,104.83,0.68,0,0,,,,,
89,InicioServicio,104.83,0.00,0,1,104.83442799949718,,,,
90,Llegada,104.87,0.04,0,1,,,,,
91,Llegada,104.99,0.12,1,1,,,,,
91,InicioServicio,104.99,0.00,0,1,104.98693764210304,,,,
92,Llegada,105.12,0.13,1,1,,,,,
93,Llegada,106.05,0.93,1,1,,,,,
93,InicioServicio,106.05,0.00,0,1,106.0480054177467,,,,
